Algorithm;Instance_name;Instance_size;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500;1510;1520;1530;1540;1550;1560;1570;1580;1590;1600;1610;1620;1630;1640;1650;1660;1670;1680;1690;1700;1710;1720;1730;1740;1750;1760;1770;1780;1790
SA;ft70;70;71192;71827;71991;73418;72261;73486;73344;74171;74201;73267;71417;73180;71618;72152;70694;70707;70715;70575;71154;70597;68168;69640;68155;65425;66496;67752;70606;72066;74023;75382;74423;75871;71196;74837;72816;70238;73049;73689;70310;70923;70338;71287;72939;71278;69837;71409;69909;70652;70839;71924;70327;71795;73298;72137;73355;73303;71961;72961;72188;72802;74227;74197;71977;70994;70708;72635;74874;73578;72897;75220;74786;74658;71277;72798;74211;73908;74397;73474;71915;69823;67340;66248;67687;69015;70835;71229;72257;73855;72108;71254;71105;70364;70813;71527;72806;73395;72888;70729;68988;73853
SA;ft70;70;69749;68229;71941;75288;76836;75821;74717;71052;73204;69767;70176;68419;69318;70953;68307;69494;69064;64871;67999;68802;71063;71518;69493;69747;70600;71748;70854;70848;71060;72042;72022;73298;70272;69738;69952;71690;69964;68569;69201;68794;68800;71017;71572;70938;72369;70000;69929;69824;70976;71859;74077;69405;69166;68418;69810;70546;70110;68962;71490;73925;73529;71995;70197;70051;69108;69402;70580;70366;71117;69389;70356;72051;70571;71876;73610;73536;73207;73374;70768;69672;70715;71707;72082;73959;71718;69169;71794;72556;75233;74805;74648;71367;72754;71813;72177;71600;72251;69915;70092;71228
SA;ft70;70;67877;69761;69896;70895;72398;71952;70719;72362;72192;70289;72777;71940;71138;71185;70827;72729;73159;73067;74825;73390;73176;75621;72915;69738;71427;70494;71482;70331;68630;67855;68614;69017;72534;70889;69952;69702;71593;70074;69010;71477;72813;68840;71294;71565;70275;72462;70669;72137;72059;71509;72027;73148;73933;69227;72180;73600;74145;73263;71673;71317;73045;73908;70545;72398;73253;71164;72401;71174;72471;72592;69935;69463;70792;69537;72532;71065;71343;72141;73208;72807;71593;72415;72141;73493;71465;70227;71042;71342;71787;73000;74323;73748;74065;73989;72109;72003;72691;74077;72941;73715
SA;ft70;70;69165;70993;72304;73217;72113;71832;74132;73066;73949;75461;72114;71979;71886;72692;73409;73154;74722;72703;69786;70663;73715;72856;70162;72366;70089;70608;71657;69813;70406;68390;67929;69374;71740;73099;73123;69945;68399;70951;71739;70362;70223;70763;72089;70375;70000;71577;73795;71620;71126;70600;68534;70550;73466;74549;72562;71671;69961;68842;70533;70810;68585;70743;72478;73449;72584;71779;72154;73139;72542;71591;70770;68816;69110;70891;72094;73010;72473;72357;70545;69872;71505;71651;72018;69669;69125;69214;71342;69967;68030;69640;70082;72597;70920;74290;72337;74323;74589;74263;73197;74402
SA;ft70;70;71880;73525;73386;71859;75043;75144;75479;73134;72683;70357;69448;69577;71994;70925;73585;72073;71228;73043;71602;71829;73097;73231;76120;76162;75967;73969;73853;74026;72802;73686;73130;72668;73286;70169;68208;68697;69984;71112;70758;70451;72678;71064;69920;70395;69535;69826;71310;70329;72936;73287;71738;72093;73848;71866;72652;71745;71531;72870;68653;69470;68967;70213;72915;71069;69166;66672;70056;71450;71540;76180;75943;75574;76088;75798;76219;75441;73887;73099;72037;72639;73054;73176;69900;72933;71956;70373;71769;73193;71538;71972;72593;73007;71411;72752;72972;74234;72624;74239;73830;75224
SA;ft70;70;70830;70374;70716;73500;74490;72998;72544;73032;72176;73352;73296;71862;74765;72331;73243;74313;74693;72697;73902;73656;74448;72862;74881;74039;73402;73662;71161;70649;67012;67116;69450;72183;73171;73541;74418;72230;71059;71857;69633;68848;69637;73497;73870;73880;75338;74024;73848;73363;73240;74755;73072;74433;75960;72442;72078;71652;72517;72069;72413;73053;72920;72749;71877;72166;73601;72853;71815;73108;72320;71348;72342;69728;71709;73272;73257;74577;74828;74666;73841;73928;70566;72732;70943;69867;68595;71561;71190;72895;71377;71119;71529;72812;72105;72068;71712;70004;71037;72828;71370;71608
SA;ft70;70;70105;70592;70202;73078;71782;70921;75120;75319;71054;71254;69257;68183;70251;71123;70073;71992;68312;67659;67127;68163;67482;69596;70948;70894;69707;71915;70618;71012;73043;73894;72225;73042;72978;72191;73355;73739;73913;70719;71601;69890;72615;71183;68929;73827;71434;72188;71409;71245;72554;70309;71570;69879;70342;70447;71059;72451;71536;71155;69223;71863;73534;73336;73854;73667;73923;72949;73267;74329;73579;72625;73910;71799;72151;69664;69534;68662;67556;68602;70376;70753;71062;70406;67513;69195;69340;69868;68407;68772;69900;70164;69989;69833;69885;70119;72018;70840;71787;71056;71400;71470
SA;ft70;70;70775;71351;72676;73483;73592;70859;68903;71428;69204;69757;70552;69606;70279;69700;70917;71832;70341;73067;72851;73306;73781;73802;72477;72929;72556;72739;73191;73887;69776;68985;68991;68974;69996;69755;68693;67514;68588;70510;73594;72467;70630;70418;71741;73188;72826;71480;72545;74235;73776;73079;70539;67326;68009;68341;70270;71589;69509;69571;69104;71455;71671;71395;71365;71411;71080;72852;74566;73854;73458;70996;72852;72943;70508;71292;71849;71199;71006;69139;70521;73379;72951;70645;70411;68593;69643;69691;72852;73396;74459;74506;70640;73237;72147;72316;69865;70724;72341;69547;71478;72157
SA;ft70;70;71580;71218;73629;72974;73225;69883;70266;70349;70684;69757;71363;72648;70689;73032;74383;74181;71398;71144;70970;73181;73330;72916;73784;74864;71925;70006;73394;73118;72995;74555;72342;69584;70488;71816;69497;69314;72679;71930;73245;71735;70623;70532;67925;68707;68936;70458;69054;72087;72015;71668;72359;71167;72415;71242;73028;72754;69820;71634;69527;69905;69747;69500;69699;70234;69140;69691;71499;74216;72568;73810;73847;76249;74938;75602;75222;74606;74478;74059;73358;71986;71392;70251;73017;71246;71867;73763;72899;73419;74296;74719;71505;73110;71966;72788;69368;70164;71149;70438;71237;69394
SA;ft70;70;73345;76141;75038;74704;75434;73373;71593;71096;68544;68495;72583;72106;73698;75256;74393;72510;73894;72046;70838;70284;73323;71338;71898;70989;70873;71700;70710;73052;70697;71371;72850;74198;72727;71302;72607;70912;72100;70831;70745;72372;71000;69361;70159;68369;67380;66939;67070;69018;68489;69488;75233;74267;73078;72072;72481;70908;67500;70857;68240;69618;69473;70729;69933;70172;71928;73175;71649;72938;73366;69946;71225;72904;71731;72690;74745;73990;73295;72969;72307;73478;73822;73481;71768;73962;73803;73186;71216;72824;72581;72153;73776;71971;72552;73625;74099;72179;72369;71529;71390;72814
SA;ft70;70;71794;71806;71201;72275;71385;72282;72547;71452;72329;73163;72521;73863;73330;73446;73127;73253;71034;70249;70722;73863;74781;72801;70892;73489;72915;72984;71947;71963;72750;73823;71439;72912;70804;73266;75078;75525;74064;73935;75115;73659;72799;73047;72878;72178;70203;72218;73661;73289;70137;70031;71119;72430;71353;70367;67830;68956;70754;69942;69867;67686;67088;68395;72504;74371;75001;73451;71462;69739;69420;69610;71888;70777;71686;70013;73326;73412;72343;72662;71741;72685;74637;72889;72598;70659;72490;74756;73883;72874;69613;71421;73740;74099;73802;70961;70441;71857;72060;71136;70931;71808
SA;ft70;70;74429;74834;72634;70583;69652;71340;70422;69736;71908;70559;70161;69062;69115;71079;69292;69653;70701;71443;71906;69287;70880;71624;73378;75066;74651;73148;74065;75605;72881;71679;72816;71893;74530;73424;71085;68761;67896;71888;71354;69022;69886;72518;71402;71396;69759;68722;69692;68655;70195;72024;71171;70316;70864;71677;71168;71521;72496;72264;71577;71181;70233;70753;68794;69703;72229;72530;70930;71570;71839;71646;72992;71242;71679;72141;72774;73070;71138;72793;71864;70746;72017;72298;71556;73055;72448;71310;70253;70548;69558;74361;72431;72312;71153;71229;71106;69792;70508;69916;69198;69611
SA;ft70;70;69740;71253;73128;74218;72736;70461;72216;71226;70154;69754;70731;72116;72988;72854;70134;66779;66919;70020;71286;70956;71898;72275;69489;70713;70731;71500;71111;70207;69084;70278;73643;73632;72425;73361;74976;74350;73684;73673;73693;75276;74798;72093;70768;69940;72904;72797;72804;71916;71882;72277;72441;75331;72943;70444;69442;71123;72234;73223;73275;71124;72201;73220;72545;75256;75971;75481;74891;71809;72524;72345;72207;71064;72914;71215;72662;72392;72561;71436;73155;72388;71535;71918;72072;71860;71225;72974;73327;73422;72416;71860;70637;71290;73604;70786;70502;71026;73181;71874;71720;73184
SA;ft70;70;69259;70781;70914;70925;71098;70128;70012;71192;75240;74884;73848;73927;74265;73841;73566;72187;71399;71494;75459;72818;70510;72425;71417;71957;72653;72145;73004;72371;72925;70798;72091;73319;72442;71391;72313;70553;71670;72454;68892;69315;71822;71519;70726;71680;74265;72473;73031;74048;72088;72845;72939;70552;68592;70013;70971;72773;74471;73998;75113;73972;74438;75435;72746;71756;68728;69093;71261;71703;71124;73025;70956;70175;70884;69377;67891;69119;69943;70754;72192;69962;70531;70340;70394;69388;72288;72395;72653;69768;69075;70059;72947;72100;72150;71261;72083;71847;74996;74909;74538;73076
SA;ft70;70;70662;73298;71381;69968;72556;75437;74645;74071;74510;73049;72423;72144;71351;72251;71257;69138;72078;74202;73296;72213;73038;71680;71939;71770;75763;74136;73403;71858;71790;70517;70619;70123;72685;72103;69846;71236;70228;70573;73426;73613;72306;73882;71211;69742;68700;71741;73035;72967;73876;70137;71847;70791;69451;72283;74105;72858;71925;70524;69218;71167;71539;72612;71622;70453;72664;73450;72643;74176;74368;72137;71387;73702;72500;71758;73202;72811;72461;74108;71420;73347;74200;73276;73486;71956;72944;73718;73202;72775;71494;69364;70234;71897;72843;72334;68379;71410;70224;69594;70339;72185
SA;ft70;70;72375;69873;70184;72723;73169;72687;71485;71721;71603;72593;72514;72233;71345;70770;72031;73369;71656;73946;74085;73099;74216;74773;71925;70145;70910;70069;71423;69579;70665;71337;71682;71769;70417;71850;72511;72569;71171;72077;73281;71431;70345;72356;71057;70346;71012;69830;68489;69685;68251;70619;70613;72688;72132;71308;74413;73969;72776;70392;72346;71372;70735;69152;69639;71111;67737;68066;71201;71908;68743;71301;72563;70023;71274;71758;70509;70955;72361;71433;71995;71131;72215;71591;72256;71695;71210;69146;69859;70312;70322;70837;69216;73043;73393;71987;73924;74783;74171;73500;73787;74562
SA;ft70;70;67947;67156;69224;66569;68451;68537;71096;71986;72484;73040;74295;72157;72104;71444;71757;74263;71979;72397;69198;69302;69901;69171;72191;73546;71542;69096;71324;71371;72029;73391;72097;72711;73640;74850;71768;72859;71782;72088;71203;72849;71201;72064;72156;71855;71931;71243;70644;70933;70719;70876;70584;71584;71748;72249;74289;75516;74985;76706;74053;72435;73641;72224;71905;73103;72534;69353;70699;72500;71073;70969;71873;71788;70353;70119;68941;68813;69649;68718;70209;70888;73132;71798;70821;73384;71037;70874;72205;69407;72466;71720;70000;71608;72710;70051;70471;68297;70345;69690;70779;70477
SA;ft70;70;68999;72683;72969;73562;72726;73978;72997;74382;73801;73616;72249;70745;72205;73597;70848;72617;72932;73999;72530;72212;71172;71036;72769;71961;72732;71470;68677;71598;73751;72307;70935;70760;71491;72358;70288;69603;68492;70274;68893;69041;70049;72212;71810;70233;69978;71921;73352;74295;73427;71554;72120;70913;70963;71711;71371;70551;70291;71883;69716;71716;73176;71347;72632;72863;73303;73197;73953;75436;73086;72102;70232;70867;70434;70878;70649;74437;73297;72640;72691;70949;71351;71274;72636;73771;72718;72072;71858;69444;69405;71757;74675;71922;72136;72027;71862;73362;74252;71339;73212;71280
