Steps;Time;Cost
0;0,046;43273
0;0,0609;43859
0;0,0483;42515
0;0,0426;44282
0;0,046400000000000004;43394
0;0,0424;43939
0;0,0493;42458
0;0,0439;43394
0;0,0465;43052
0;0,0436;42858
0;0,0484;43013
0;0,0444;42471
0;0,046900000000000004;42989
0;0,044700000000000004;43675
0;0,0471;42858
0;0,0443;42989
0;0,0463;43273
0;0,0457;42458
0;0,0479;42515
0;0,0427;43273
0;0,0484;42756
0;0,0448;42547
0;0,053399999999999996;42515
0;0,0436;43186
0;0,045899999999999996;44013
0;0,044199999999999996;42673
0;0,0483;42951
0;0,0428;44282
0;0,045599999999999995;42545
0;0,0444;42703
0;0,0458;43465
0;0,0434;43391
0;0,0444;42508
0;0,047299999999999995;42587
0;0,044199999999999996;42515
0;0,0474;43525
0;0,0471;42508
0;0,047;42858
0;0,043699999999999996;42471
0;0,0477;42547
0;0,0445;42515
0;0,0487;43846
0;0,0461;43052
0;0,0502;43232
0;0,0468;43013
0;0,0435;42858
0;0,045599999999999995;43052
0;0,0445;43171
0;0,0465;43013
0;0,045399999999999996;43697
0;0,0471;43273
0;0,0429;43360
0;0,046;44013
0;0,0425;43237
0;0,0479;42587
0;0,0434;43444
0;0,048900000000000006;42864
0;0,044;42989
0;0,048600000000000004;42458
0;0,0435;42979
0;0,0488;43697
0;0,044199999999999996;42471
0;0,0467;43012
0;0,0453;43098
0;0,0513;43266
0;0,0451;43900
0;0,0468;41815
0;0,044700000000000004;42547
0;0,0463;43859
0;0,0434;42471
0;0,0472;43846
0;0,043000000000000003;43266
0;0,0474;44282
0;0,045200000000000004;42756
0;0,0466;43391
0;0,0436;42858
0;0,047599999999999996;43171
0;0,0444;42703
0;0,0458;43227
0;0,0428;43186
0;0,048900000000000006;43697
0;0,0439;42864
0;0,046900000000000004;43879
0;0,0457;42870
0;0,046900000000000004;42703
0;0,044199999999999996;43525
0;0,0507;43394
0;0,0424;43177
0;0,0474;43273
0;0,041999999999999996;43227
0;0,0471;43237
0;0,0445;42508
0;0,0468;43013
0;0,044199999999999996;42864
0;0,047;42824
0;0,0448;43113
0;0,0461;43177
0;0,0418;43095
0;0,0478;43900
0;0,0432;44282
0;0,0478;43525
0;0,0453;42824
0;0,045899999999999996;42951
0;2,4959000000000002;43391
0;0,0475;42321
0;0,045200000000000004;42858
0;0,0431;43088
0;0,043300000000000005;43186
0;0,0426;43052
0;0,0421;43227
0;0,0453;43697
0;0,0448;42824
0;0,0434;42412
0;0,043000000000000003;42412
0;0,0436;42858
0;0,0434;42412
0;0,044199999999999996;42745
0;0,0441;42703
0;0,044;43013
0;0,0428;43506
0;0,0445;42728
0;0,0439;43524
0;0,0449;42547
0;0,044700000000000004;43171
0;0,044700000000000004;42949
0;0,0444;43467
0;0,0431;42951
0;0,0451;43900
0;0,0439;43013
0;0,0458;42515
0;0,043699999999999996;42515
